gene_name	length
CLCA1	3310
CLCA4	3447
GLT8D1	3785
ATP2C1	8510
IGF1	8115
SLC38A5	4018
RALBP1	8041
RUFY3	9405
CNTN1	7492
SLC11A1	8676
WWTR1	8353
AGPS	15223
ZNF806	5159
CXorf56	2581
ATP1A2	6298
TTC27	3443
ZNF582	3350
VSIG2	1447
PHLDB1	21715
MARCO	2051
CYP24A1	3988
PRDM11	13940
SYT13	5445
SNAI2	3281
CD74	6122
HGF	9753
ZRANB1	5993
NCDN	4917
ADGRA2	7084
CCT8L1P	1674
ZFP64	6790
MNAT1	3877
SAMD4A	12333
RUNX3	4922
MRE11	7674
PLEKHB1	4933
SERPINB1	3047
CYP3A43	2637
SLC7A9	2598
SPAST	9481
NRXN3	15534
OSBPL5	7473
AQR	13431
CPS1	11018
C8B	2732
FHL1	5862
RTF2	4063
GABRA1	8420
NLRP2	6313
SLC45A4	8608
RNF10	5900
ZNF839	5595
ZDHHC6	3748
GRAMD1B	14944
RNH1	7374
NDUFS1	12174
RB1CC1	7613
ERP44	4808
ALAS1	2536
BIRC3	7518
AKAP11	9915
GLRX2	6210
SNAPC1	2593
DERA	2813
STRAP	2215
ABCC2	7837
DEF6	2579
PLEKHO1	6629
GCLM	5426
UBR2	8874
EHD2	3844
DEPDC1	5904
CCDC28A	1247
RRAGD	5095
HSF2	2697
PHF20	8372
HSD17B6	2272
NR1H3	4534
TYMP	3600
NCAPH2	4459
TOMM34	1973
SEC63	8606
KPNA6	7457
VIM	5176
RTEL1-TNFRSF6B	9093
FAS	5578
RNASET2	14943
CD44	9992
KCNG1	5415
AGPAT4	14253
SLAMF7	4833
BTN3A1	5539
MIPEP	3388
PRKCH	8830
INSRR	5200
IFNGR1	3276
B4GALT7	4878
SH2D2A	2498
VRK2	3531
TNFRSF1B	3778
VEZT	8766
POU2F2	9072
BRD9	9549
SNX1	9789
TBPL1	5039
ARNTL2	6983
BCLAF1	9533
SLC39A9	7138
ANK1	10797
IBSP	1573
TFB1M	4111
RABEP1	7059
HMGB3	3914
NUP160	8576
BAK1	2212
MUSK	9176
IKZF2	12240
GRN	3524
FAM13B	6808
ARHGAP31	9374
CENPQ	1741
SARS1	3849
RANBP3	7445
ARID4A	7449
EIPR1	5723
PNPLA6	7161
IFT88	6049
ALG1	5386
ZCCHC8	9125
ABCF2	5158
CHPF2	4205
LRRC7	30043
FUT8	6976
UBA6	11408
GAB2	6775
ATP6V0A1	10926
PIAS1	10647
SLC4A7	9616
APBA2	6869
MAP2K3	3775
EFCAB1	5822
TMSB10	461
ASTE1	3427
RNF19A	5852
PEX3	2830
GABARAPL2	3010
MYOC	2104
SH3YL1	11132
FAM136A	3086
VCL	9992
DEPDC1B	3806
DAPK2	13612
NSMAF	6170
ADSS2	3441
STAP1	1951
TIMP2	5633
RFC1	6719
TBC1D23	5176
CUL3	11505
MYOM2	7056
OTC	1683
CYP46A1	9358
ZZZ3	9008
SLC18A1	3910
USP2	4523
CASR	12020
TUBG2	2793
RPL26L1	1164
FLT4	8852
NSUN2	5506
FBXO42	9009
MFAP3	10159
MRI1	3466
METTL1	1947
HOXC8	2417
AGA	2605
PI4K2B	3685
BOD1L1	15862
MAT2B	5135
TLL1	8105
EDC4	6140
TRIO	17860
VCAN	14678
CLEC16A	12523
MSR1	7812
CDH1	6076
MTREX	6347
DNAH5	16795
ZFYVE16	15490
RIPOR1	6729
C6	4857
RAI14	7581
SOX30	3489
PNKP	4545
BEST2	2646
PHLPP2	12493
SPDL1	4775
STAU2	8964
SLC66A1	2686
CTNS	4949
RTN4R	3126
PHF23	2733
CDH10	3660
INPP4A	13189
RAB27B	7154
PSMA4	6994
MYO16	8816
LSG1	4801
PARP3	3198
TNC	9639
THAP3	4072
RIPOR3	6023
TDP1	6223
AIFM2	5135
C2orf83	3486
SPATA7	6872
MED17	16610
RETSAT	4049
CAPG	2419
AP2S1	1558
USH2A	20633
ZPBP	2625
TG	11132
ADAM28	9318
BARX2	3752
DCUN1D1	8307
JADE2	11091
ZIC2	3290
LCP2	6823
TRIT1	6533
ADRB1	3039
GUCA2B	604
CUL7	6099
CTNNA1	8830
PHKA2	8547
CNTLN	11064
EPHA3	6577
HSPA5	6530
DSG2	6056
GEMIN8	4001
OFD1	5176
GPM6B	5767
MAGEC2	1994
PREX2	12132
WDR37	6301
YTHDC2	10805
CTPS2	5531
ATP6V1H	5104
POLR2B	5891
FAM214A	9832
ARAP2	12427
TPR	12350
CP	7072
KATNIP	9784
DTNBP1	3046
XK	5174
ANO2	6255
C12orf4	4932
SCML1	5497
WWC3	7418
ARHGAP6	8893
FAM184B	6731
MAP4	14943
GOPC	4628
ROS1	8890
USP28	5719
HDAC9	17269
TSPAN17	5215
NOP16	2814
CC2D2A	14588
RRM2B	5391
ZNF800	5793
TNFRSF17	1015
SNX29	11299
LMO3	10002
MRPS10	2100
GUCA1A	3190
RSF1	15740
VPS13D	20768
CELF2	10978
FAM120A	7246
R3HDM1	7898
COL9A2	4215
KITLG	6205
ERCC8	13515
ADAMTS6	8565
H6PD	9322
VAMP3	2733
PER3	8099
UTS2	1793
TNFRSF9	6354
EPN3	4503
LTBP1	7348
RCN1	4472
ELN	6455
RFC2	2211
ARID1B	45931
CLPTM1L	6549
NEDD4L	34097
FOXP3	3086
PPP1R3F	4378
HEXB	5015
PTCD2	12115
NEXMIF	12338
JKAMP	4350
DKK3	11958
ARHGEF5	5818
NFE2L3	4303
MCUR1	6057
LIMA1	6317
LETMD1	6032
SLC4A8	17920
LAMC3	8939
PTGER3	9653
TNIP3	3749
MAPK9	8955
COL23A1	4359
BCAR1	9199
FAM160A2	4726
HERPUD1	5062
HOMER3	3422
RAD51	3084
POLQ	9382
PIK3CB	7841
CYBA	3253
THOC3	3449
HEBP2	10352
MPHOSPH9	10304
PLEKHA5	12577
PRSS8	2975
SIKE1	5894
RRP12	8529
FNIP2	10981
MSMO1	2852
TTC17	11296
ALX4	5727
FSTL4	6711
FOXN3	11154
METTL24	1774
AKR7A2	1779
MRTO4	2556
NNAT	1329
USE1	2431
MCF2L2	20568
NRIP2	2814
LAMA3	14488
AP5M1	13019
ANAPC4	7444
KCNQ1	4420
TRAPPC3	3527
THRAP3	4720
PHPT1	1612
ENTPD2	2640
LY75	8805
ARID4B	11073
OPN3	3724
SDCCAG8	5321
PTPRN	8228
HHAT	6645
KIF1B	17955
FOXC1	3983
TBC1D22A	5315
SYNE2	32377
PLEKHH1	10828
ATP9A	8073
SPO11	1823
CBLN4	3154
CHRDL2	3176
FAM168A	7887
RELT	6187
GALC	6736
NOP58	3274
SZRD1	4742
KCNH2	5805
CUL1	4152
FAM114A2	6523
CYFIP2	10498
TAB2	5922
GINM1	2250
EIF2AK2	11036
USP36	9235
KMT2C	25615
MCOLN3	6624
CCDC85A	4114
PUM2	6969
MRPL43	3573
ITIH4	4659
ITIH1	4541
HPF1	1422
ZFR	6771
ZNF280C	4638
NPFFR2	2359
PHF21B	6007
TRAF1	4476
RC3H2	11563
IL17RB	3044
TRAF3IP2	7871
GYG2	3621
DCBLD2	11280
SERPINB3	1707
SOAT1	7005
PKP2	6970
MSH4	3270
F7	3799
GDI2	3918
PRDM1	6750
ATG5	5655
TMCC3	6512
PITHD1	2173
MTA3	10580
USP13	15296
ATP11B	9187
LAMC2	6770
CDK14	7017
SEC61A1	4640
PPP1R12A	11864
RASGRF1	9977
CAMK2B	8159
CROCC	8875
POLR3E	9486
ATP2B4	9495
ZC3H11A	12829
RIOK2	5489
YIPF1	2036
NDC1	4720
DGKG	10975
FLYWCH1	8425
UNKL	7494
TBXAS1	6271
PARP12	5510
ALDH18A1	3759
TARBP1	7819
GATB	11741
MXD1	6351
CDK17	6467
DNAJC25	2604
SLC2A3	6071
PSD	5979
CTDP1	5300
YBX3	8621
STYK1	3440
WNK1	17280
RPS17P5	408
CCAR1	6059
OGFR	4702
GNA15	2753
CREB3L3	2648
PIGV	5872
PTPRU	6682
SNRNP40	3887
RIMBP2	9655
COL11A1	9091
QSER1	10908
MPC1	1546
ACAA1	7106
BCAT1	11415
HDAC7	9928
LZTS1	5706
PRDM6	9230
WNT8A	1991
SPAG4	2348
NCKAP1	22520
MRPS35	1930
GUCY1B1	3944
SFSWAP	10158
TNK2	12245
MON2	16014
CDH3	6392
ARSF	2205
GPBP1	6472
DGAT2	7904
ZNF112	3848
CS	6401
LTK	3491
MRPS24	2607
ELMO2	6597
WAPL	7205
VMP1	6854
APPBP2	9890
POLD1	4934
SEZ6	4962
EIF4B	6028
SLC6A16	3589
BICRA	7688
SPHK2	6009
RPL18	3857
CA11	1946
ISOC2	4408
U2AF2	4116
EPN1	17616
MED29	3839
AHRR	9435
GSC2	2625
ZNF275	8147
MTMR1	6328
GPC1	6522
ADCK1	5293
HAGH	5839
RNF4	7141
CASP8	7243
LIMCH1	10862
INTS13	3059
TM7SF3	5504
DLX3	2715
SPA17	5159
TSPAN32	3797
CCN5	4981
DMRT3	2697
ST3GAL6	6288
ATP2C2	7352
NGFR	4141
CDON	10777
TAF2	6526
HIPK2	15622
TNPO3	4676
BORCS8-MEF2B	1929
RFXANK	2503
TMEM161A	3281
LPAR2	2975
CTSA	8508
SUGP2	8468
SLC12A2	10653
SNX24	3474
EYA2	3618
CNN2	3640
ABCA7	9591
SNCAIP	7266
DDX20	8778
BTBD1	4066
FAR2	5411
BCAS1	8186
POU1F1	1566
CHI3L2	3295
SBNO2	6610
PMS1	5454
HMG20B	3857
CALCRL	7309
TAF11	1989
ANKS1A	8498
AP3D1	8613
ZNF76	6782
SLC9A3R2	3516
NTHL1	2430
UHRF1BP1	9908
GNAI3	9044
IPO5	9664
OAT	3388
WDR3	10276
PKN2	6897
WDR18	2283
TRAM2	7047
NTN1	6415
GLP2R	5696
MCM10	5456
DGKA	10098
ERBB3	8837
ROPN1	4518
ANKRD44	12826
KARS1	4051
ADAT1	6118
PDIA5	4067
TBC1D22B	3462
NDUFB4	1877
SPEN	14336
MYLK	22167
ZC3H15	3026
MAP2K4	5709
PACC1	2917
SNAP91	6651
SLK	8107
CYB5R4	9621
COL17A1	6989
GSTO2	9926
SEC61A2	3916
PRKCQ	3295
TLE2	4150
ASB1	7407
FAM107B	7019
ME1	3338
TBC1D1	9035
CDK13	24618
MTHFD2	11443
SLC9A7	9980
FOXJ2	6297
YBX1	3395
PDE4A	6762
PPP2R5A	3942
CTNNA2	7535
ELAVL1	6962
TIE1	6705
DIP2B	10351
SMARCD1	4903
KDM4A	5184
NFYC	5990
ZMYND12	2181
SLC9A3	5754
NGEF	4647
ASPM	11994
CD84	9255
ELOVL1	2506
SPI1	2040
POLR1H	3672
MPPED2	8114
CLDN18	3715
ZBTB11	7053
ATXN3	9661
GOLGA5	3205
FGFR2	7580
LRRC40	2843
ISOC1	1942
EML1	8930
TRMT11	5722
THUMPD1	6501
MSANTD3	3289
KIF26A	6756
ATG2B	14256
ARFGEF1	11059
ACSM2B	8158
ZFAT	8900
MTFR1	4629
STAG3	8736
FECH	8784
MYO9A	20320
DDX3Y	5720
PFKP	7728
IDI1	4294
SP100	14134
KLF6	6139
PLPP1	1935
NEO1	8137
TRAM1	4131
PHKA1	6350
TNFRSF1A	4005
CACNB1	7097
EVI5	8276
STOML1	10458
PKM	8571
DHX29	4896
DNTTIP2	7518
METTL22	8254
TP53BP1	12976
TRO	6716
RRP15	7877
RHOA	4805
DHX8	10439
PMS2P4	844
PRKCZ	7695
ZFY	5557
IARS2	4135
SYT1	6389
NAV3	13278
IDH3G	2717
ROGDI	3613
PDZD4	4341
ATP2B3	7534
ROCK1	11075
CBFB	4652
PDK3	13506
HYAL2	4421
HDAC4	13377
RASSF1	3683
FGFR3	4848
IFI35	1958
HEATR6	7045
COASY	4032
PLEKHH3	4803
MEF2A	6925
OTUD5	3596
TFE3	4207
TBC1D25	3966
ACSL4	6546
INPP5A	3739
GPKOW	1658
GRIPAP1	6841
FTSJ1	2872
PRR11	6743
REEP1	5846
ATP11A	13733
POLR1A	13519
LAPTM4A	1546
TTC7A	7180
IP6K2	5624
STON1-GTF2A1L	4294
SRBD1	5045
KIF2A	13050
RASGRP2	6084
PSME4	10392
IFT80	7080
SIRT2	6224
ERLEC1	2592
PPP2R5B	3360
PYGM	4658
PAGE1	659
PITX1	3442
TRPC7	3768
MAST4	14675
ADGRF5	6601
SDK2	11963
ADAM7	4483
NUP133	6081
NUCKS1	6449
VPS35	9733
DNAJA2	4951
BCL3	3094
KCNAB2	17329
ABCC9	11690
GAL	1300
CLEC2D	6955
FUNDC1	1257
MAOB	2895
RORA	17023
DRD4	1501
TGFBR3	8577
PLA2G10	752
HES2	5407
ATP1B3	2617
NEDD4	9036
PIGB	4542
MAPK6	6397
GNB5	13330
RAB27A	5603
HDHD5	4936
UFD1	8722
LRP6	10369
GUCY2C	4191
SCT	526
PHRF1	5785
ELP1	24261
NUCB2	9025
PFN2	3709
PTPN3	9995
SPTB	14796
DAPP1	4590
FGF10	6399
SLC44A1	12172
TMEM260	8072
SMG6	10568
EXOC5	12472
CLTCL1	10052
FGF22	2778
FSTL3	3033
DGCR2	5605
RNF126	3452
MNT	8701
ZXDC	7329
JMJD6	5969
POLB	4106
ST6GALNAC1	3396
WIPI1	3403
FRMPD1	5913
GBA2	4803
NDST1	9510
ASNS	4896
AP3M2	6276
CNGB1	7310
ST6GALNAC2	3002
CHAT	6588
PABPC1	9546
TESK2	3319
CFAP20	2302
CSNK2A2	10363
PTPN21	7670
EIF2B3	3411
CAMK2A	6179
TCOF1	11439
CDC42	16278
OSBPL3	8089
EPHA8	5434
SLC12A3	6180
RAD18	6984
ATP2B1	9500
TRPM5	3962
NCK2	2975
MAP4K4	11961
MGAT4A	9636
RPL31	5277
WDR1	7827
SNX13	16418
MS4A12	1839
ARHGAP10	10755
RPS6KA2	8251
ING3	5200
VASH1	7223
LMCD1	9025
BUD23	7943
SEL1L	9553
TRIP13	3319
ATP6AP1	5683
TCF3	6090
TRIB2	4588
DAZAP1	9201
MBD3	7909
PRLH	264
HLTF	6024
FAM50A	2552
FAM3A	5098
CPSF1	6058
MYO3B	8236
CYBRD1	5172
CDH19	6864
PDCD2	6476
SLC6A15	20154
RDH11	5498
PRKACA	7764
ADGRL1	8487
SPP2	1265
ACTN1	10641
ZFYVE26	15884
RPS6KA6	8794
EPN2	8517
PTPN18	5732
LIMS2	8731
ASIC4	5250
SPEG	17066
LNX1	5624
ALDH3A2	15331
TFRC	7794
SREBF1	8243
TRPC5	12143
AFF4	11281
UBE2D1	3480
MPP5	14825
RHOBTB1	4779
SMC1A	10830
HSD17B10	1112
MARK2	12010
HMMR	3932
CHFR	17113
TRHDE	12264
P4HA2	10128
FCGR2B	6651
NFATC3	8806
TRNT1	5802
ACADVL	4820
STK10	8915
FBXW11	5577
ACAP1	7420
CRMP1	5851
EVC	7144
DERL2	6383
SIDT1	7798
NDE1	8217
IRAG1	7700
TMEM38A	2987
AP1M1	14094
PVR	6098
XRCC1	2745
SCARB1	14887
CYP2W1	2791
MCM2	4715
MOV10L1	6872
PANX2	3103
SELENOO	2363
TP63	7479
ALPK1	12326
LLGL2	7939
PDE8A	8004
CLCN4	7562
NLE1	5475
SDHA	8765
SMARCE1	18470
FNDC8	1352
GSDMB	5905
KDM5A	12029
ADAM11	4813
PPP2R3A	7785
FERMT2	8463
ABCB11	7715
DHRS9	3750
CD5L	2469
PTGS2	5484
IGF2BP2	5330
MAP3K13	12604
ST6GAL1	11142
TBX21	2625
VDAC1P1	848
FRY	18852
PICALM	6342
NSF	5005
GLI2	7720
CLASP1	10941
MRPS34	1092
NOTCH3	9408
CLNS1A	4581
PPP2R2C	9366
TEAD2	2980
EED	6807
CDHR2	5348
SNCB	2008
TSG101	3558
NCBP3	14720
ATP2A3	6893
CA12	6998
MGLL	11849
NTN4	4365
BCS1L	3379
NUAK1	5924
DPP8	10211
SLC24A1	9084
ZNF532	11754
SCARF1	4958
LMAN1	6070
HACD3	7094
IPCEF1	8474
ZZEF1	15888
NOX3	1980
ENO1	5216
SLC12A1	12838
MYDGF	1670
ANO8	5005
TUBE1	7087
ARHGEF10L	7954
TXK	3466
WSCD2	6740
KCNQ2	12777
TACR2	2922
ACTR6	3813
TIPIN	2739
SRI	4226
EIF4G3	9606
NUP37	3488
SEMA3A	9259
GTSE1	4113
SEMA3C	6100
TTC38	3578
ACAT1	5869
GRAMD4	4901
CELSR1	16045
WNT8B	2144
ZNF638	12474
SLC25A40	5084
TIMM21	5197
ADD2	12673
FGF4	3165
RASAL2	16081
VPS9D1	3340
ZNF37A	13190
MARK3	21530
SLC25A3	8896
FNDC3B	13324
FOSL2	7162
CACNG5	10576
CACNG4	3583
FRYL	18165
TMEM131	13042
FSCN1	3699
ACTB	4405
MOCOS	6303
PLD1	12860
ATP12A	4424
WDR62	12217
DLG1	16552
RAB7A	7194
BCAP29	5625
SEC31B	7934
SART3	7637
ARHGAP15	6127
TUBA3D	1572
PAX2	6582
EXOSC7	4429
KIFAP3	4978
MKRN2	9783
MCM6	4135
REXO2	3650
RBM7	7885
RBMS2	8914
BAZ2A	10936
PTPN23	5975
MLH1	7970
UNG	2544
FMO4	2542
KLHL20	4244
RGS11	4798
SLC46A1	7954
PLXNA2	13845
SPAG5	5218
ANKRD13A	7350
TPD52	8197
ACACB	14505
TRAF4	4573
PAG1	11023
GPATCH1	4469
ICAM3	2788
NT5C2	9137
MCAM	7422
GPC4	4959
MBNL3	12199
CAMSAP3	4884
RAP1GAP	5755
XAB2	4653
ARHGEF1	8624
STXBP2	6036
MAP2K7	5145
NMRK2	1141
DGKD	9784
CTTNBP2	6969
ACTL6B	2376
RARB	3697
TOP2B	6044
TM9SF3	7494
NFKB2	4714
UBE2T	1652
PPP1R12B	21069
DNAJC10	25053
GTF3C1	11562
IL4R	5884
USP33	6918
PAK3	10446
CAPN6	3532
DCX	10203
SNRPA	2353
SPAG6	3876
EXOSC5	1368
DYNC1I2	6433
APBB1IP	3843
LRCH4	7117
FAM76B	6031
SIRT6	2749
TYR	2593
POLD3	5501
ACTN2	6061
CAPZB	19094
GPR137B	2307
NAALAD2	7168
JADE1	9052
SLC25A43	2839
UBE2A	5207
FGFR1	14643
FKBP6	4746
SMC1B	4253
FBLN1	7285
ITGA8	7320
CST7	891
MAP2	11802
PIAS2	17535
AMPH	5489
ARAF	3409
MCCC1	4311
LAMP3	3785
FAP	6968
NEBL	17810
ACER3	23102
UBE2K	5180
PIK3C3	15170
N4BP2	9811
TIGAR	9444
TULP3	3179
SYNJ2	12517
ADCY2	17608
PPP2R5C	14289
PMS2P1	5854
RBFOX1	15742
GNB1	6417
HOXA9	3033
EDN1	2035
MLLT10	9130
ZCWPW1	3318
ADCYAP1R1	6985
FGF20	1840
P2RY10	3576
ITM2A	2051
NRDC	6773
VDAC3	3181
PCM1	12476
TNRC6C	11111
CBFA2T2	9457
BRINP1	3874
ITCH	10639
PKD2L2	4653
TP53INP2	4179
SDF4	4744
MYH7B	8247
BPIFB2	1788
TP73	6767
TOLLIP	5983
UBE2D4	4715
CLUL1	3846
RUNX1T1	13535
CDH17	3878
THOC1	8102
FKBP7	3080
OSBPL6	11488
SLC1A3	21227
XRCC5	5463
LXN	1459
SP140	5582
MKNK1	8071
TNS1	16281
REXO1	5579
SAR1A	6914
CDC14A	6510
RAPGEF3	12106
CEACAM1	5527
SENP1	6114
DUSP13	2351
CIC	9466
LIPE	5161
FDFT1	5197
PAFAH1B3	1419
OPHN1	20704
AFM	2182
KIF22	4311
SCGN	1482
CARMIL1	6853
PGM1	4077
DDX1	10125
DNM2	13443
EPB41L2	10320
RIMS1	12788
MOXD1	5223
STX7	16387
RABL2B	5869
KEAP1	3573
DDX43	2724
PTPRH	4345
DCT	7540
SLC35C2	7708
CRYBG3	10979
EPHA6	6291
SCTR	3415
RFX3	11169
RIF1	18166
RAB21	16048
SLC4A4	9153
SMARCA2	18595
RDH8	2001
SESN1	5121
MID2	7554
DNAAF6	1956
COL5A3	6783
SRCAP	13644
PUM3	2573
CPB2	6699
CHRNA3	4761
KCNN2	6108
CNOT4	6999
PSEN1	9947
CPOX	3157
CLDND1	5210
MOK	10986
HSP90AA1	5097
RBL1	5956
DLGAP4	8785
IGSF9B	17862
CFHR2	2750
CROCCP3	6905
NDC80	3554
AP4E1	7354
RSBN1	6819
MAGI3	8414
CXCL2	1398
AFP	3201
COL4A4	10042
TCF7	10093
OSTM1	5325
CDH7	14528
IMPG2	8352
PCNP	3045
EXD2	6263
ARG2	2284
MEF2C	11755
PTPRC	9168
CACNA1S	7266
PKP1	6211
UBA5	8072
STK17B	6566
CDC14B	10475
ZNF510	7233
LRP2	16109
ZNF506	9537
JMJD4	4315
DUSP12	1762
AACS	16039
DELE1	6000
SLC13A1	4401
CADPS2	6365
PCDHB4	3806
PCDHA6	6136
PCDHGA2	6720
HSPB11	3006
PHLPP1	9051
ATP8B1	7028
IL12RB2	6067
SMARCD3	4919
WDR70	6966
FYB1	8823
MPP4	4924
STRADB	3177
BZW1	8085
PGR	14693
C1QTNF3	4547
ME2	15897
C5orf22	4146
CCNT2	9081
FAM135A	10476
COL19A1	11018
EPB41L3	12203
COBLL1	17176
DLG3	7870
KCNK2	4294
SERTAD4	5470
TRAF5	9022
MRPL22	5264
GEMIN5	5644
OPRK1	5670
