gene_name	length
Arpc2	2033
Kmt2b	9596
Zbtb32	2357
Etv2	1048
Upk1a	1421
Tmem147	1112
Rps9	2522
Tfpt	1201
Susd2	3435
Ggt5	5922
Ggt1	3411
Crip2	2099
Crip1	2280
Cbfa2t3	8373
Fbln1	4368
Pgrmc1	1857
Gcat	2384
Tek	4712
Mpl	3155
Elovl1	2726
Med8	3001
Hyi	2209
Cdc20	1868
Adamts4	4810
Nectin4	3746
Pfdn2	1937
Rnf114	3356
C330007P06Rik	7424
Neurl1a	7284
Srm	1599
Epha2	4674
Rbm14	3910
Actn3	2901
A530013C23Rik	5964
Zdhhc24	2916
Bbs1	7674
Slc34a3	2358
Ndor1	5835
Nsmf	4896
Prl7a1	1621
Prl8a9	942
Pdk1	7779
Ptbp1	4740
Mvd	1859
Cyba	1039
Itih3	3638
Stimate	4362
Sfmbt1	8637
Itih1	3293
Ihh	3048
Prkag3	3682
Cryba2	1193
Atp7b	6505
Defb2	305
Slc4a1	4891
Rundc3a	2941
Slc4a3	8599
Cdt1	3140
Runx1t1	7959
Snai3	1628
Aprt	1615
Gtf2h1	2984
Hfe	3572
Abhd1	1352
Slc5a6	3991
Tcf23	4116
Nphs1	6620
Aplp1	3017
Qrich1	7918
P4htm	3890
Usp19	7048
Pola1	8813
Cdc42	2966
Pknox1	6933
D130043K22Rik	5276
Gmnn	1465
Acot13	744
Zfp184	3513
Cyp27b1	2574
Cdk4	3249
B4galnt1	3454
Mettl1	2907
Tspan31	2193
Kif5b	7981
Saal1	8080
Tph2	2879
Krt23	1565
Cnp	3639
Odad4	6147
Sulf2	5871
Sod2	10008
Tmco6	3363
Stambp	10426
Ezh1	7440
Hap1	3766
P3h4	2178
Ctnnb1	5192
Eif1b	1125
Klk4	1249
Chrd	6258
Psmd2	4038
Syngr3	2071
Vars	5608
Vwa7	4313
Hspa1l	2472
Slc44a4	3112
Msh5	5526
Abhd16a	3220
Neu1	3733
Ddah2	1593
Clic1	1799
Lsm2	3152
Pole	11160
Atp1a2	7038
Atp1a4	3667
Casq1	1951
Stx1a	2666
Ceacam9	1411
Zfp775	4244
Scube2	4153
Mrpl49	1876
Dennd2c	6858
Mark3	9700
Gatad1	4168
Pcdha11	5359
2310003L06Rik	1603
M6pr	4170
Lrrc8a	4308
Mc5r	3904
Ppp2r1a	3411
Fance	3192
Tinf2	4938
Tssk4	1717
Hapln4	3924
Dus3l	2944
Gtpbp3	3984
Tgfbr1	6534
Homer1	11976
Rad51c	4384
Gabrb2	6360
Cav1	3444
Arpp19	4957
Bcl2l1	4586
Khsrp	4319
Dio2	5815
Ccdc124	1696
Cct4	4201
0610009B22Rik	998
Cpt1c	5605
Twist2	3174
Zfp655	5598
Rhoa	7494
Zmiz1	12523
Ankrd26	7253
Aldh16a1	5622
Hnrnpa0	2678
Prrg2	2581
Hnrnph1	5842
Ift43	1651
Id3	1791
Tcap	948
Arid1a	11476
Crlf1	1644
Ctsd	2351
Rplp1	499
Cabs1	1505
Hmgcll1	5449
Ttc9b	2052
Phox2a	2035
Abhd8	4079
Ift22	3608
Fzd3	12804
1700008O03Rik	3675
Mid1ip1	2128
Ap2s1	1472
Fgfrl1	2782
Brme1	2406
Fhl2	1897
Emc10	2917
Clstn3	5867
Fbxw9	3383
Spib	2868
Fnbp4	6583
Cers4	12264
Scrn3	4815
Phax	2223
Tle1	8711
1700109H08Rik	3062
Relt	3280
Snrpb2	2857
Ubc	2893
Prpf31	5439
Sertad1	1344
Carhsp1	2858
Elk3	4550
Herpud2	5857
Rdh13	6595
Adam21	2911
Nutf2	2034
Fut1	2786
Arpc5	2276
Rnf151	1195
Elavl2	8313
Pou2f2	8243
Mgst1	2013
Nfib	14957
Htr3b	2411
Rab25	1673
Ubqln4	4147
Rbfox1	4400
Rps18	2451
Rpl10	2053
Rps15a	6270
Ncaph2	4198
Hipk1	10914
Gprc5b	4630
Man1a2	7969
Ceacam5	3273
Tppp2	742
Acyp1	1380
Cldn13	1067
Cd163	5461
Hdac5	8780
Rala	2899
Clec3a	591
Vdac3	5420
Slc1a7	3360
Vps72	3639
Gabpa	5687
Bmp7	4019
Dynll1	3890
Pdcl	3751
Tmem184b	4702
Gm5965	833
Rsph14	3012
Nf2	6825
Cabp7	2628
Zmat5	1248
Ewsr1	5907
Ap1b1	4957
Derl3	1993
Gstt4	989
Tbx1	3517
Gnat2	2995
Bcl2l13	9089
2610028H24Rik	1705
Spatc1l	1332
Dqx1	3419
Ccl8	511
Lnpk	9154
Prr29	1724
Mymk	1511
Fam163b	2959
Trpm5	6398
Ascl2	1623
Rarres2	2656
Pttg1ip	3877
Trpm2	12459
Ube2g2	2431
Mpo	3424
Lpo	3135
Met	7679
Slc16a12	4170
Syn2	7031
Elk1	5381
Nav1	18814
Tnpo1	11212
Myod1	1861
Otog	10349
Rnmt	7339
Kcnq1	4093
Srp14	1195
6330409D20Rik	1431
Cdk9	4611
Tor2a	3050
Fpgs	3802
Mrtfb	8990
Cbx5	9006
Odam	1376
Apobec3	9454
St6galnac1	2392
Taf7l	2245
Sardh	5432
Vav2	6915
Tex15	9622
Ppp2cb	1469
G0s2	871
Dmap1	2636
Pla2g12b	1182
Mcu	6936
Oit3	2788
Tex11	3624
Bcr	8191
Fxyd5	4192
Kcnd1	5287
Tfcp2	8063
Pou6f2	6985
Pou6f1	6949
Ubp1	4757
Nuak2	3920
Cilk1	11524
Sdhb	2239
Cox4i2	788
Snap47	2651
Wnt3a	2761
Kdsr	8147
Vps4b	8905
Rps25	2691
Nxf2	2568
Taz	5364
Kif19a	4068
Aldh3a2	5619
Zmynd10	2129
Tmem115	2194
Hyal2	3293
Ifrd2	2637
Hyal1	3777
Tusc2	1785
Nprl2	2013
Slc38a3	5277
Cacna2d2	7947
Rassf1	5845
Epn3	4067
Rnf112	3923
Slc3a2	3529
Nxf1	4427
Stx5a	5808
Slc47a1	3383
Pifo	1127
Tnfrsf13b	2836
Spire2	2510
Prox1	8390
Raver1	3470
2610507B11Rik	8798
AI597479	3458
Tmem86a	1887
Optc	2575
Tex14	5014
Ifi35	1727
Rdm1	1575
Nedd8	1261
Gosr1	4289
Mrpl52	1109
Spaca7	979
Kansl3	6742
Eya4	9418
Ebf3	9227
Uckl1os	2522
Myt1	7191
Faf1	5093
Gm266	1215
Tsacc	1112
Mettl16	13817
Dazl	3820
Apol7a	3029
Pigyl	777
Rbm25	17376
Psen2	4332
Acaa1b	1962
Plcd1	3093
Fads1	4812
Lmbr1	5850
Tnfrsf22	4217
Cars	6583
Phlda2	1121
Asz1	2829
Wnt2	2255
Gabra1	7326
Grid2ip	6773
Kdelr3	1411
Cfap97d1	798
Apip	1000
Pdhx	3930
Vac14	6960
Mcoln2	3288
Slc5a1	4104
Akt1s1	3072
Tbrg1	3901
Panx3	3434
Adssl1	2090
Cfap161	3188
Brf1	7788
Vipr2	4463
Odc1	3405
Thg1l	3015
Adam19	7115
Pabpc4	4027
Exoc3l2	4016
Zfp296	2037
Plin5	2087
Sugp1	6109
Dmrtc2	1619
Gm5893	2087
Dhdh	7408
Zfp790	3658
Cpb1	3284
Slc25a41	1331
Fsd1	2493
Pinlyp	843
Fuz	5003
Sptbn4	9563
Pgam1	1982
Evi5	8060
Evi5l	8524
Snapc2	1769
Git1	4838
Gltp	1762
Bnip2	3455
Ccnt1	9157
Scarf2	3839
4930579F01Rik	2379
Brms1l	3455
Med15	11642
Dhdds	3784
Crybg2	7801
Ubxn11	4742
Mogat1	1558
Tex22	1270
Wnt8a	1746
Tjap1	4701
Ehf	5576
Nanog	2242
Rpl15	2473
Tmem167	10807
Steap4	3155
Mplkip	4503
Kif11	7461
Rpa3	1136
Mlkl	2303
Phox2b	3645
Tnpo3	13100
Ttll5	15875
Zfp715	5119
Retn	1579
Acp4	1749
Cdh23	16939
Rps5	1734
Podnl1	3549
Adgrl1	8587
Amotl1	10064
2200002J24Rik	616
Etv5	4103
Tmem190	871
Gfod2	4608
Enkd1	3659
4933405L10Rik	1487
Atp6v0d1	1793
Ptprs	14990
Slc41a1	4912
Fer1l4	6896
4931406B18Rik	5633
Iglon5	2622
Igf2bp1	9682
B4galnt2	1722
Zfp651	7063
Nelfb	3432
Card14	4605
Tmem175	5928
Bcas1	3775
Tango2	7910
4833413E03Rik	1373
Aldh1a2	2264
Ndufs2	2313
Snx31	2935
Atraid	2082
Cad	8183
Lypd8	1284
Sh3bp5l	6352
1810065E05Rik	926
Atad1	5995
Pten	11507
4933402N03Rik	1826
Pea15a	3861
Timm23	1786
Tnfaip8l2	1122
Trnt1	4413
Ly6g6e	1273
Ehmt2	5489
Elof1	1702
Med16	4663
St3gal1	6851
Tmem259	4663
Rnf170	6237
Clip3	3935
1700020L13Rik	2432
Myl2	1950
Dedd	5861
Mcemp1	1494
Nit1	4932
Pax5	8853
Prdm15	11349
Rnf168	4462
Dynlt2b	2385
Chp1	3499
Sval2	1208
Trpv4	4076
Klhl3	7322
Tvp23b	2235
Dnajc7	8726
Zfp385c	3101
Cacybp	2390
Cluap1	2279
Zswim7	732
Pigl	2268
Ndufa2	572
Pam16	2435
Glis2	4373
Cox6c	3567
Bicc1	7441
Ube2z	3997
Gip	687
Tmem87b	8395
Anapc1	16714
Mertk	4336
Tsg101	2730
Hps5	6497
Map3k4	10181
Piezo1	9935
Blk	2698
Rnf166	1985
Ankrd28	12233
Ankrd52	8401
Pkd2l2	5804
Srp19	3630
Tmbim7	2345
Clec4f	2471
Klra17	1192
Wdfy2	9185
Rbsn	8783
Mrps25	6576
Dguok	4611
Camta1	14570
Csf1	5281
Strip1	5453
Kif1a	9330
Alx3	1892
Slc25a11	2120
Chrne	1690
Cmc2	2043
Chfr	4437
Ceacam16	1635
Hoxa2	1775
Adam28	9184
Ankrd53	1739
Tex261	4088
Fam120b	8345
Tbp	13576
Psmb1	4595
Pdcd2	2582
Dll1	4219
Nol3	3176
Fhod1	4666
Plekhg4	5478
Slc9a5	5240
Elmo3	3485
Stc1	4197
4931428F04Rik	4045
Tppp3	1848
Msh3	11254
Adamts13	4925
Tmem208	1511
E2f4	2452
Surf4	3281
Surf2	3408
Dnajb9	2549
Naf1	3094
Yes1	7508
Ppp1cb	10913
Gorasp2	4145
Tsen15	4195
Oc90	1912
Efr3a	11399
Trappc2l	1950
Acsf3	3747
Ddx19a	2957
Galns	2650
Gata2	5398
C8g	1493
Entpd2	2128
Rabl6	6379
Ptgds	1649
Edf1	1317
Clic3	1012
Npdc1	3906
Fbxw5	3052
Slc25a13	3798
Ube2i	5474
Tsr3	1192
Unkl	5673
Lrrk1	10307
Aldh1a3	4617
Actn1	5533
Sirt2	5035
Hnrnpl	5953
