gene_name	Day42vsDay0_log2FoldChange	Day42vsDay0_padj	ID
Kat2b	0.0275753248678256	0.943407274652272	ENSMUSG00000000708
Rab5b	-0.0237192313693089	0.929539714232484	ENSMUSG00000000711
Cryba1	0.292433322367984	NA	ENSMUSG00000000724
Dnmt3l	-0.658468306575321	NA	ENSMUSG00000000730
Aire	0.437606701977795	NA	ENSMUSG00000000731
Icosl	-0.132246584358604	0.725075716730425	ENSMUSG00000000732
Spg7	-0.00683911614975091	0.985136820204119	ENSMUSG00000000738
Sult5a1	0.379641656505293	0.379662166192529	ENSMUSG00000000739
Rpl13	-0.26419311513359	0.100999767109636	ENSMUSG00000000740
Chmp1a	-0.0945595884315225	0.735293082629283	ENSMUSG00000000743
Rpa1	-0.404903281466374	0.0273365226949325	ENSMUSG00000000751
Serpinf1	1.04109334066677	3.02477584867114e-05	ENSMUSG00000000753
Tubgcp3	-0.0849794841563254	0.705620350885857	ENSMUSG00000000759
Oprm1	-0.0761046175504019	0.907635885681426	ENSMUSG00000000766
Polr3d	0.127513215356543	0.700838417921097	ENSMUSG00000000776
Tcf7	0.7788682900194	0.00200153809049706	ENSMUSG00000000782
Ddx3x	-0.223846793065799	0.238343724444365	ENSMUSG00000000787
Il12rb1	0.367832831672998	0.419407872620147	ENSMUSG00000000791
Slc5a5	0.147449987474877	NA	ENSMUSG00000000792
Kcnn3	1.36743994754092	0.00066738657969094	ENSMUSG00000000794
Usp32	-0.424915825468815	0.0596389414739143	ENSMUSG00000000804
Car4	NA	NA	ENSMUSG00000000805
Txnrd3	0.125417474854158	0.715030384878518	ENSMUSG00000000811
Fasl	0.244729558622239	NA	ENSMUSG00000000817
Zfp512b	0.103936144827684	0.675103253728572	ENSMUSG00000000823
Dnajc5	-0.15596539978275	0.287392708551522	ENSMUSG00000000826
Tpd52l2	0.0649812508254125	0.864108081664438	ENSMUSG00000000827
Fmr1	-0.195153881670208	0.297250531382828	ENSMUSG00000000838
Bcl11a	-0.11354387270278	0.761690784916673	ENSMUSG00000000861
Il4	-0.365351355459986	NA	ENSMUSG00000000869
Pxmp4	-0.120579558435797	0.705620350885857	ENSMUSG00000000876
Dlg3	0.506831841109091	0.048620883764404	ENSMUSG00000000881
Gnb1l	0.0852798159191077	0.892626617182629	ENSMUSG00000000884
Dbh	-0.0400728355770089	NA	ENSMUSG00000000889
Mmp11	0.298926956909572	0.374356866995522	ENSMUSG00000000901
Smarcb1	-0.221034120246539	0.116033217677647	ENSMUSG00000000902
Vpreb3	0.277115700421287	0.591145620196102	ENSMUSG00000000903
Hip1r	-0.189379996409287	0.450018350136328	ENSMUSG00000000915
Nsun5	-0.294343106314853	0.301308297824535	ENSMUSG00000000916
Top1mt	0.223514157753975	0.532735900146279	ENSMUSG00000000934
Hoxa10	0.745112624354476	0.000274655821506654	ENSMUSG00000000938
Hoxa4	0.198973928882818	NA	ENSMUSG00000000942
Gm38393	0.405643351272246	NA	ENSMUSG00000000948
Mmp14	0.851963752772726	3.87680500635019e-06	ENSMUSG00000000957
Slc7a7	0.362390907548293	0.248270443380173	ENSMUSG00000000958
Oxa1l	-0.00103911304667053	0.997601923328879	ENSMUSG00000000959
Heatr6	-0.012506488340055	0.978168116079805	ENSMUSG00000000976
Ccl3	-0.239099388539929	NA	ENSMUSG00000000982
Wfdc18	0.254427042794349	NA	ENSMUSG00000000983
Icam4	-1.00424276547542	0.00829017501429838	ENSMUSG00000001014
Ilf2	-0.220571382996204	0.223280676675578	ENSMUSG00000001016
Chtop	-0.0724087486678692	0.767199353832389	ENSMUSG00000001017
Snapin	0.293125728507215	0.248867224710221	ENSMUSG00000001018
S100a4	0.31882159784275	0.317564090933816	ENSMUSG00000001020
S100a3	0.292507253190746	NA	ENSMUSG00000001021
S100a5	-0.059472388651651	NA	ENSMUSG00000001023
S100a6	0.0436253183984252	0.888533256943809	ENSMUSG00000001025
Scn4a	0.683828464992065	0.162466952737172	ENSMUSG00000001027
Icam2	-0.168217408226645	0.570577109724582	ENSMUSG00000001029
Mapk7	-0.230864472653682	0.474152049477603	ENSMUSG00000001034
Epn2	0.687956844685782	0.00985637692391527	ENSMUSG00000001036
B9d1	0.805340158259077	0.0744551414599854	ENSMUSG00000001039
Sec24b	0.056947554904817	0.811781837092885	ENSMUSG00000001052
N4bp3	0.408016417146646	0.11571102142162	ENSMUSG00000001053
Rmnd5b	0.00815433556975273	0.983073818087049	ENSMUSG00000001054
Nhp2	-0.518329967785163	0.0109142201648997	ENSMUSG00000001056
Vps9d1	0.148547099648438	0.673747871939981	ENSMUSG00000001062
Zfp276	-0.114308274009796	0.754984002892448	ENSMUSG00000001065
C1ql4	-0.177464978807358	NA	ENSMUSG00000001076
Mfsd10	-0.0773608518231378	0.871585749261992	ENSMUSG00000001082
Luzp1	0.648579652598771	0.00585676310278176	ENSMUSG00000001089
Slc13a2	-0.250215602170335	NA	ENSMUSG00000001095
Kctd10	0.0178946256170236	0.959172086536272	ENSMUSG00000001098
Poldip2	-0.0154881249842779	0.962478579623743	ENSMUSG00000001100
Sebox	0.0255385044753387	NA	ENSMUSG00000001103
Ift20	0.166041412578347	0.595325263543381	ENSMUSG00000001105
Col6a1	1.25225068031523	3.99239287387744e-06	ENSMUSG00000001119
Pcbp3	0.186759838215654	0.617317582925874	ENSMUSG00000001120
Lgals9	-0.412790809487583	0.105934703888618	ENSMUSG00000001123
Araf	-0.0272345121221726	0.918539165867532	ENSMUSG00000001127
Cfp	-0.397582883470972	0.0520448392058664	ENSMUSG00000001128
Timp1	1.11214348936913	2.88194295592561e-05	ENSMUSG00000001131
Uxt	-0.154495256038503	0.696883925786712	ENSMUSG00000001134
Cnnm3	-0.310622176351232	0.214881085047721	ENSMUSG00000001138
Lman2l	0.0525193136131502	0.868181249236487	ENSMUSG00000001143
Mcm3ap	-0.509296377510384	0.0371030020484248	ENSMUSG00000001150
Pcnt	-0.138245993831	0.479175772264201	ENSMUSG00000001151
Ftcd	0.0424146364251539	NA	ENSMUSG00000001155
Mxd1	-0.621727464020988	0.00621541976349664	ENSMUSG00000001156
Gmcl1	-1.02412610504103	0.0225332417466345	ENSMUSG00000001157
Snrnp27	-0.341806897195571	0.165980457630096	ENSMUSG00000001158
Oas1c	-0.0242113850867826	0.974851379775556	ENSMUSG00000001166
Oas1h	0.108802428593183	NA	ENSMUSG00000001168
Ocrl	0.134326099448028	0.620342782291994	ENSMUSG00000001173
Calm1	-0.158539626152116	0.528452048283378	ENSMUSG00000001175
Agpat3	0.18023174964473	0.583519835713069	ENSMUSG00000001211
Slc26a3	-0.464143894244225	0.366382356448257	ENSMUSG00000001225
Sema6b	0.21711724190475	0.549926065477903	ENSMUSG00000001227
Uhrf1	-0.656214751511724	0.000490752971426705	ENSMUSG00000001228
Dpp9	-0.0661076378193014	0.804138380327518	ENSMUSG00000001229
Ramp2	0.688150822062851	0.000908226823187326	ENSMUSG00000001240
Lsr	0.0704356436514484	0.914681503825896	ENSMUSG00000001247
Gramd1a	0.0598352687504992	0.807878513690753	ENSMUSG00000001248
Hpn	-0.695538216671212	0.0329546676029399	ENSMUSG00000001249
Gabrg1	0.524855781700287	NA	ENSMUSG00000001260
Ckb	0.377897274249805	0.122606110315105	ENSMUSG00000001270
Sp1	0.0234199124038442	0.931391432180198	ENSMUSG00000001280
Itgb7	-0.202087085155854	0.499690290163174	ENSMUSG00000001281
Myg1	-0.0137774468235617	0.972935500148853	ENSMUSG00000001285
Rarg	0.413192545152056	0.0595403638079755	ENSMUSG00000001288
Pfdn5	-0.1167368236242	0.696160355404874	ENSMUSG00000001289
Efnb2	-0.0320071132879884	0.950730952186009	ENSMUSG00000001300
Rrp15	-0.202358021246092	0.506784299556497	ENSMUSG00000001305
Rnd2	0.490892687237494	0.239557946778089	ENSMUSG00000001313
Srr	-0.0144146099226717	0.978232863432274	ENSMUSG00000001323
Sync	0.16581819233904	0.80130165448011	ENSMUSG00000001333
Fndc5	-0.938653516544196	0.033108663390318	ENSMUSG00000001334
Acp5	0.47682103923807	0.0777592829758652	ENSMUSG00000001348
Cnn1	0.933793902511265	0.0501323362543061	ENSMUSG00000001349
Fbxo9	-0.371395019857492	0.0733214644954407	ENSMUSG00000001366
Vps50	0.0331806094854413	0.919945456291558	ENSMUSG00000001376
Hars	-0.305308543266297	0.169429993620504	ENSMUSG00000001380
Zmat2	-0.143189296802927	0.591640542379501	ENSMUSG00000001383
Ube2c	-0.745029346394381	0.00105413633890618	ENSMUSG00000001403
Smg5	-0.151654608192683	0.563967688397188	ENSMUSG00000001415
Cct3	-0.133337305129619	0.449937961449731	ENSMUSG00000001416
Glmp	0.236680068062955	0.336136592203501	ENSMUSG00000001418
Mef2d	0.285087878950352	0.306223292844116	ENSMUSG00000001419
Tmem79	-0.248509550392234	NA	ENSMUSG00000001420
Snd1	0.0524684932557335	0.865949719246031	ENSMUSG00000001424
Col18a1	1.51665969036642	7.53193813744429e-07	ENSMUSG00000001435
Slc19a1	-0.388226662409062	0.185345214790845	ENSMUSG00000001436
Kpnb1	-0.480293677894906	0.0206953746785776	ENSMUSG00000001440
Npepps	-0.00793428464560952	0.978168116079805	ENSMUSG00000001441
Tbx21	0.423448732733092	NA	ENSMUSG00000001444
Mrpl10	-0.185219874862589	0.477561203955116	ENSMUSG00000001445
Cyp51	0.0310084959634165	0.957216734100728	ENSMUSG00000001467
Tcf25	0.216494624631225	0.448707355915559	ENSMUSG00000001472
Tubb6	0.511128946696913	0.0693492330198213	ENSMUSG00000001473
Def8	-0.190848177463907	0.257694087333075	ENSMUSG00000001482
Meox1	1.08844463398836	0.00164834746534067	ENSMUSG00000001493
Sost	0.915973797526667	0.00437430909353591	ENSMUSG00000001494
Nkx2-1	-0.370597877178868	NA	ENSMUSG00000001496
Pax9	0.289787939772018	0.532407688172071	ENSMUSG00000001497
Irx2	0.528821499556234	NA	ENSMUSG00000001504
Col1a1	1.09623047859438	2.85262708891045e-06	ENSMUSG00000001506
Itga3	0.353227337701206	0.29499351404812	ENSMUSG00000001507
Sgca	1.08987872920572	0.0095857473676087	ENSMUSG00000001508
Dlx3	0.517961681223304	0.0504117414030607	ENSMUSG00000001510
Foxm1	-0.435937883117384	0.0444555226047092	ENSMUSG00000001517
Itfg2	0.0956166272262593	0.827138383606981	ENSMUSG00000001518
Nrip2	0.162148265233626	0.732787584102404	ENSMUSG00000001520
Tulp3	0.477064723412691	0.0203190855019447	ENSMUSG00000001521
Gtf2h4	-0.077084653047771	0.880292746443956	ENSMUSG00000001524
Tubb5	-0.456234287812753	0.0206547514900669	ENSMUSG00000001525
Ell2	0.333832070856103	0.0305636616189377	ENSMUSG00000001542
Jup	0.453460069236842	0.0209368960204491	ENSMUSG00000001552
Fkbp10	0.841434437869565	7.0063930711747e-14	ENSMUSG00000001555
Klhl10	0.515722220343287	NA	ENSMUSG00000001558
Mnx1	-0.0392130190152367	NA	ENSMUSG00000001566
Nom1	-0.0138011039298865	0.964334895763506	ENSMUSG00000001569
Ergic1	0.350297594067313	0.0549332276475685	ENSMUSG00000001576
Tnk1	-0.411465188969846	0.468929747467638	ENSMUSG00000001583
Acap1	-0.335701377757473	0.0822616301213849	ENSMUSG00000001588
Tcea3	0.651841212028604	0.0137234858927412	ENSMUSG00000001604
Csn3	0.120757738804708	NA	ENSMUSG00000001622
Ifrd1	5.78251828854106e-05	0.999906721695864	ENSMUSG00000001627
Stk38l	0.836170595987528	0.000667633237834884	ENSMUSG00000001630
Brpf1	-0.186796682876151	0.285952116940886	ENSMUSG00000001632
Akr1b3	0.0963770993046881	0.731854438794089	ENSMUSG00000001642
Hoxc13	-0.128583713079197	NA	ENSMUSG00000001655
Hoxc11	0.546153388269335	NA	ENSMUSG00000001656
Hoxc8	0.48957679003629	0.185465316506803	ENSMUSG00000001657
Hoxc6	0.523321327376027	0.146367904531833	ENSMUSG00000001661
Gstt1	0.164316030965223	0.792268569304971	ENSMUSG00000001663
Gstt3	0.623645663017859	0.0731150803749447	ENSMUSG00000001665
Ddt	-0.0701672726408495	0.880407519211901	ENSMUSG00000001666
Tat	-0.0400728355770089	NA	ENSMUSG00000001670
Marveld3	0.217947402719264	NA	ENSMUSG00000001672
Ddx18	-0.5022573095405	0.0928481061647704	ENSMUSG00000001674
Ubl3	-0.0374562150900063	0.890434268042335	ENSMUSG00000001687
Gramd3	0.423395908079476	0.0235999033138689	ENSMUSG00000001700
Eef1e1	-0.424030079980788	0.181034259034137	ENSMUSG00000001707
Akt1	0.185007351142581	0.334381540466176	ENSMUSG00000001729
Cldn15	-0.258267135024325	0.495303525660635	ENSMUSG00000001739
Il16	-0.102853072940364	0.736449128089788	ENSMUSG00000001741
Tcirg1	-0.125550499376054	0.570945596928477	ENSMUSG00000001750
Naglu	0.402636980216933	0.115170901414433	ENSMUSG00000001751
Coasy	0.31182839755505	0.220168501774444	ENSMUSG00000001755
Smo	0.342115285908512	0.0499402453339561	ENSMUSG00000001761
Tspan33	-0.658637491524198	0.0191695608053741	ENSMUSG00000001763
Crnkl1	-0.154001593112672	0.497464751302263	ENSMUSG00000001767
Rin2	0.425264930528037	0.0469830742300562	ENSMUSG00000001768
Folh1	-0.0400728355770089	NA	ENSMUSG00000001773
Chordc1	0.120367382500133	0.685219876623671	ENSMUSG00000001774
Rtcb	-0.169654162023742	0.309115439177953	ENSMUSG00000001783
Pwp1	-0.315287315315969	0.183246713482431	ENSMUSG00000001785
Fbxo7	-0.341141037619345	0.130733475516103	ENSMUSG00000001786
Capns1	0.380082503349069	0.0499402453339561	ENSMUSG00000001794
Lrp3	0.545977845582762	0.18819950468722	ENSMUSG00000001802
Dsg4	-0.0693183545586481	NA	ENSMUSG00000001804
Evx2	-0.029363204305202	NA	ENSMUSG00000001815
Hoxd13	-0.247418131256707	NA	ENSMUSG00000001819
Hoxd12	-0.0400728355770089	NA	ENSMUSG00000001823
Folr1	0.409738678107916	NA	ENSMUSG00000001827
Clpb	0.316970638503551	0.107753239411606	ENSMUSG00000001829
Septin7	0.00863875296854107	0.980050896595792	ENSMUSG00000001833
Zdhhc4	-0.0567292414417327	0.870304055812831	ENSMUSG00000001844
Rac1	-0.183632644719648	0.292695577730249	ENSMUSG00000001847
Nup214	0.115665614625147	0.591388212645511	ENSMUSG00000001855
Aif1l	-0.0969799215938775	0.888533256943809	ENSMUSG00000001864
Cpa3	-0.6878538807121	0.0693492330198213	ENSMUSG00000001865
Ltbp1	0.674464822007373	7.32328182515782e-05	ENSMUSG00000001870
Ugp2	0.154650675376111	0.631065668389	ENSMUSG00000001891
Kcnh6	0.616300690441719	NA	ENSMUSG00000001901
Trmt1	-0.0211302225999734	0.965958244631726	ENSMUSG00000001909
Nacc1	-0.153032979221972	0.53207375154106	ENSMUSG00000001910
Nfix	0.616142083544584	6.63748760518204e-05	ENSMUSG00000001911
Slc1a5	-0.05006419614552	0.897516258709726	ENSMUSG00000001918
Uba1	-0.195165950485779	0.216434994305271	ENSMUSG00000001924
Vwf	-0.622640677982129	0.00606026492236764	ENSMUSG00000001930
Siae	0.073008131015719	0.837663984317647	ENSMUSG00000001942
Vsig2	-0.0332426020767358	0.966738070149871	ENSMUSG00000001943
Esam	-0.00538491012366231	0.986860098995926	ENSMUSG00000001946
Spa17	0.279201421483654	0.597875543560091	ENSMUSG00000001948
Fam50a	-0.0404814121373533	0.89942558208112	ENSMUSG00000001962
Emd	-0.332086641167772	0.0802431125087754	ENSMUSG00000001964
Taco1	-0.204093875264348	0.555369874340521	ENSMUSG00000001983
Grik3	-1.34402692297864	0.000194266871299708	ENSMUSG00000001985
Gria3	-0.652610329155411	0.0237544430604535	ENSMUSG00000001986
Npas1	0.391789237841132	NA	ENSMUSG00000001988
Sipa1l2	0.0806730022246609	0.736252187089264	ENSMUSG00000001995
Ap4e1	0.00676464583910647	0.986058230879123	ENSMUSG00000001998
Blvra	-0.248071817408127	0.29499351404812	ENSMUSG00000001999
Pdzd4	0.519386627038057	0.00578571075233709	ENSMUSG00000002006
Srpk3	0.0843632026767426	0.892550892684231	ENSMUSG00000002007
Idh3g	0.0200291340818319	0.952369187510095	ENSMUSG00000002010
Pnck	-0.62726136243824	NA	ENSMUSG00000002012
Ssr4	-0.0974460696771029	0.696825870124496	ENSMUSG00000002014
Bcap31	0.0196585397350519	0.951355419858227	ENSMUSG00000002015
Fam98a	-0.0416600067878237	0.917355750125063	ENSMUSG00000002017
Ltbp2	0.941128515621177	3.25648323572211e-05	ENSMUSG00000002020
Kmt2a	0.231642239996583	0.223122270012439	ENSMUSG00000002028
Ift46	0.180413006888327	0.568032304668243	ENSMUSG00000002031
Tmem25	0.44286456235013	NA	ENSMUSG00000002032
Cd3g	0.227658015959761	0.606086596368578	ENSMUSG00000002033
Trappc6a	-0.221173716452681	0.5866128986032	ENSMUSG00000002043
Supt6	-0.00408920471110116	0.985638298070194	ENSMUSG00000002052
Spag5	-0.600928902443579	0.00306176216869897	ENSMUSG00000002055
Foxn1	-0.332491836014371	NA	ENSMUSG00000002057
Unc119	-0.659352923985161	0.00752734812566255	ENSMUSG00000002058
Rab34	0.52215985675492	0.104133739799288	ENSMUSG00000002059
Sdf2	0.050473833671533	0.916807366634785	ENSMUSG00000002064
Ccne1	-0.691293252620742	0.0154719273772072	ENSMUSG00000002068
Hsf2bp	0.22631076255083	NA	ENSMUSG00000002076
Bbc3	0.137348901013214	0.793810611569093	ENSMUSG00000002083
Mybpc3	-0.126362728629135	NA	ENSMUSG00000002100
Psmc3	-0.420413423825342	0.101135731448969	ENSMUSG00000002102
Acp2	0.0822731458306866	0.804138380327518	ENSMUSG00000002103
Rapsn	-0.36818949446969	0.497746730825894	ENSMUSG00000002104
Slc39a13	0.542449631353035	0.00299733731665705	ENSMUSG00000002105
Celf2	-0.509814575955152	0.00598930819162512	ENSMUSG00000002107
Nr1h3	0.459477042480241	0.115430455738954	ENSMUSG00000002108
Ddb2	0.252197933054962	0.423362600552493	ENSMUSG00000002109
Spi1	-0.544755231024154	0.000448116580336656	ENSMUSG00000002111
Sf3a1	-0.2449416959311	0.171972274086365	ENSMUSG00000002129
Stat6	0.0346329000618557	0.878384058408435	ENSMUSG00000002147
Clgn	-0.296993260151063	0.558163735212078	ENSMUSG00000002190
Napsa	-0.384023216475194	0.147706812349157	ENSMUSG00000002204
Vrk3	-0.373343004921051	0.0874586921157476	ENSMUSG00000002205
Smg9	-0.311589498144792	0.0925246751028612	ENSMUSG00000002210
Paxip1	-0.111876094297967	0.681620919074339	ENSMUSG00000002221
Rmnd5a	-0.215268915940188	0.262267387518574	ENSMUSG00000002222
Mov10	-0.141351627693884	0.60159577704515	ENSMUSG00000002227
Ppm1j	0.820114027903692	0.0636594015915328	ENSMUSG00000002228
Rhoc	0.680432860119319	0.000591920479291433	ENSMUSG00000002233
Prr27	0.0476637213679086	NA	ENSMUSG00000002240
Tead3	0.578014364079373	0.0905017331295752	ENSMUSG00000002249
Ppard	0.12455737548512	0.62715407451181	ENSMUSG00000002250
Def6	-0.287561268245115	0.116719452712045	ENSMUSG00000002257
Peg3	0.159130124502551	0.671532057586521	ENSMUSG00000002265
Zim1	-0.160470238174007	0.780524274061292	ENSMUSG00000002266
Metrn	-0.2154973155476	0.634081916479437	ENSMUSG00000002274
Lmf1	0.336621031233706	0.166063722336672	ENSMUSG00000002279
Ciao3	-0.246489253520788	0.214966661937747	ENSMUSG00000002280
Angptl4	1.03366378141746	0.000142334649584703	ENSMUSG00000002289
Dbf4	-0.613695513560724	0.00148866789493977	ENSMUSG00000002297
Daxx	0.132495812918166	0.667627544288415	ENSMUSG00000002307
Cd320	0.0194113954358445	0.978168116079805	ENSMUSG00000002308
Ipo4	0.402872960764752	0.169544583297128	ENSMUSG00000002319
Tm9sf1	0.0720916926192089	0.767556776127579	ENSMUSG00000002320
Rec8	-0.838839601556897	0.0704453392097412	ENSMUSG00000002324
