gene_name	logFC	adj.P.Val	ID
Ccl3	0.119169892460059	0.842854038535862	ENSMUSG00000000982
Icam4	-0.373576656029047	0.190671774365505	ENSMUSG00000001014
Ilf2	0.167910592882329	0.209333860922033	ENSMUSG00000001016
Chtop	0.230690191475628	0.0345888669650394	ENSMUSG00000001017
Snapin	0.386691623531061	0.0118807545329304	ENSMUSG00000001018
S100a4	0.351360860378542	0.366122141218102	ENSMUSG00000001020
S100a6	0.54152522673348	0.0291747166056209	ENSMUSG00000001025
Scn4a	-0.492960206218887	0.380782214738	ENSMUSG00000001027
Icam2	-0.0244326330088347	0.934720869363943	ENSMUSG00000001029
Mapk7	0.547364917718923	0.00275808596705759	ENSMUSG00000001034
Epn2	0.359345143538539	0.0597124143399006	ENSMUSG00000001036
B9d1	0.966942210961502	0.00973324468616452	ENSMUSG00000001039
Sec24b	0.150370062828356	0.326714833446523	ENSMUSG00000001052
N4bp3	0.293390798584392	0.24724819031501	ENSMUSG00000001053
Rmnd5b	0.0172464391220117	0.925187280044673	ENSMUSG00000001054
Nhp2	0.38833481532107	0.0559948742684645	ENSMUSG00000001056
Vps9d1	-0.242336758322747	0.218849294464115	ENSMUSG00000001062
Zfp276	-0.238140001413002	0.0718882531553908	ENSMUSG00000001065
Mfsd10	0.191119232932845	0.268557542367862	ENSMUSG00000001082
Luzp1	0.884406353099957	0.000129735452063778	ENSMUSG00000001089
Kctd10	0.395509643035203	0.0015970133269259	ENSMUSG00000001098
Poldip2	0.145928892165251	0.322199132737131	ENSMUSG00000001100
Ift20	0.697482487115517	0.000121537237401435	ENSMUSG00000001105
Col6a1	3.04380405832798	1.44994576262987e-09	ENSMUSG00000001119
Pcbp3	0.439544712263297	0.204153471343784	ENSMUSG00000001120
Lgals9	0.132607200959884	0.756246794645047	ENSMUSG00000001123
Araf	0.15185763473733	0.235211371469678	ENSMUSG00000001127
Cfp	-0.250263872889358	0.168460713488578	ENSMUSG00000001128
Timp1	2.32355109242865	0.0510311842644284	ENSMUSG00000001131
Uxt	0.0312902292275736	0.913425865427977	ENSMUSG00000001134
Cnnm3	0.0804965000575635	0.659569775278197	ENSMUSG00000001138
Lman2l	-0.230453657721288	0.120847705518983	ENSMUSG00000001143
Mcm3ap	-0.142631011908218	0.460285277558146	ENSMUSG00000001150
Pcnt	-0.374055743004681	0.00349745197329791	ENSMUSG00000001151
Ftcd	0.69999572153529	0.342533789188581	ENSMUSG00000001155
Mxd1	-0.500627533729272	0.00987556681836923	ENSMUSG00000001156
Gmcl1	0.240502324345866	0.0542511113183929	ENSMUSG00000001157
Snrnp27	0.280931011737493	0.0810112781137558	ENSMUSG00000001158
Oas1c	-0.634775464267968	0.215286991768709	ENSMUSG00000001166
Oas1h	-0.43313838487769	0.821311021582728	ENSMUSG00000001168
Ocrl	0.188590609706166	0.283017130740315	ENSMUSG00000001173
Calm1	0.340738189549649	0.00324702254838181	ENSMUSG00000001175
Agpat3	0.0727343005075713	0.719540306710379	ENSMUSG00000001211
Slc26a3	-1.19588194987226	0.0298017341338764	ENSMUSG00000001225
Sema6b	0.443694774560516	0.0979780081221439	ENSMUSG00000001227
Uhrf1	-0.470816020192542	0.00797847893007744	ENSMUSG00000001228
Dpp9	0.107854752244797	0.396627003545896	ENSMUSG00000001229
Ramp2	0.763167755830051	0.00792118979703967	ENSMUSG00000001240
Lsr	0.0426975203527651	0.950369912274455	ENSMUSG00000001247
Gramd1a	-0.0477955819841389	0.814080352971968	ENSMUSG00000001248
Hpn	-0.297136840876365	0.331307374388808	ENSMUSG00000001249
Ckb	0.660223104833834	0.00269326738403252	ENSMUSG00000001270
Sp1	0.0103532325182663	0.933166500483502	ENSMUSG00000001280
Itgb7	-0.247189915497438	0.298612756540672	ENSMUSG00000001281
Myg1	-0.0373002373565661	0.882932084801546	ENSMUSG00000001285
Rarg	0.617131591188922	0.0267742540097375	ENSMUSG00000001288
Pfdn5	0.473015254433305	0.0162238135962316	ENSMUSG00000001289
Efnb2	0.663079437711681	0.00906932555145176	ENSMUSG00000001300
Rrp15	0.0256734474076548	0.925187280044673	ENSMUSG00000001305
Rnd2	0.87169779447666	0.00726926577551945	ENSMUSG00000001313
Srr	0.247731417392308	0.283755115403979	ENSMUSG00000001323
Sync	0.251264998189816	0.388312807657263	ENSMUSG00000001333
Fndc5	-0.594971516027103	0.484371010374684	ENSMUSG00000001334
Acp5	0.554945902915705	0.0360862738734634	ENSMUSG00000001348
Cnn1	0.570305158039722	0.448324507208375	ENSMUSG00000001349
Fbxo9	-0.399362242024428	0.00691510357222787	ENSMUSG00000001366
Vps50	-0.202308423069733	0.331692375728724	ENSMUSG00000001376
Hars	0.0681349306807508	0.684804474533682	ENSMUSG00000001380
Zmat2	0.0124760228482339	0.943283958252613	ENSMUSG00000001383
Ube2c	-0.162466335784773	0.396489186554276	ENSMUSG00000001403
Smg5	-0.289969303820039	0.0771976114747684	ENSMUSG00000001415
Cct3	0.295582995336982	0.123889007938835	ENSMUSG00000001416
Glmp	0.713785847828455	2.71775583342206e-05	ENSMUSG00000001418
Mef2d	0.0383863453699016	0.793439461276022	ENSMUSG00000001419
Tmem79	-0.336661839314554	0.548624007852128	ENSMUSG00000001420
Snd1	0.439048019671012	0.00491621033057549	ENSMUSG00000001424
Col18a1	2.50010509443421	9.64623795023565e-06	ENSMUSG00000001435
Slc19a1	-0.143803780291315	0.538619827440377	ENSMUSG00000001436
Kpnb1	0.206362721854877	0.0953790310732804	ENSMUSG00000001440
Npepps	0.0447331081730429	0.776574202998488	ENSMUSG00000001441
Tbx21	0.159043367536242	0.729876045700922	ENSMUSG00000001444
Mrpl10	0.28566021754847	0.0216255657181635	ENSMUSG00000001445
Cyp51	0.346328295901198	0.147081465064133	ENSMUSG00000001467
Tcf25	0.251709044810552	0.0111989872191757	ENSMUSG00000001472
Tubb6	1.17270633583197	0.0297519144655154	ENSMUSG00000001473
Def8	0.126906056839813	0.388086123903956	ENSMUSG00000001482
Meox1	1.11616538725101	0.00645071568968808	ENSMUSG00000001493
Sost	-0.924108436497273	0.0178289592514627	ENSMUSG00000001494
Pax9	0.711538859758148	0.0216474501169511	ENSMUSG00000001497
Irx2	0.438183142784453	0.630951797662836	ENSMUSG00000001504
Col1a1	2.12668379427393	6.15065712407104e-06	ENSMUSG00000001506
Itga3	0.81552288471683	0.00643389522064897	ENSMUSG00000001507
Sgca	-0.420030740647005	0.540570236936264	ENSMUSG00000001508
Dlx3	0.817285621982716	0.00672451620231651	ENSMUSG00000001510
Foxm1	-0.37140290038013	0.0411614082481494	ENSMUSG00000001517
Itfg2	-0.245381358492613	0.157360660618513	ENSMUSG00000001518
Nrip2	-0.0206906388258263	0.955099049031711	ENSMUSG00000001520
Tulp3	1.00242104913315	4.67015111964118e-05	ENSMUSG00000001521
Gtf2h4	0.378667049633515	0.132913197101864	ENSMUSG00000001524
Tubb5	0.0016094398255877	0.993658474170276	ENSMUSG00000001525
Ell2	0.199099107725411	0.162417445523482	ENSMUSG00000001542
Jup	0.249203565849855	0.215612431921716	ENSMUSG00000001552
Fkbp10	1.93917963447886	5.67013037235997e-06	ENSMUSG00000001555
Klhl10	-0.844884716675908	0.319314398738225	ENSMUSG00000001558
Nom1	0.15688297113403	0.433706000312621	ENSMUSG00000001569
Ergic1	0.816756417159095	0.000671051551745058	ENSMUSG00000001576
Tnk1	-1.43658667354094	0.0048659144875233	ENSMUSG00000001583
Acap1	-0.426775485717449	0.0122455356073058	ENSMUSG00000001588
Tcea3	0.216931403502699	0.687263606799889	ENSMUSG00000001604
Csn3	1.0523324840431	0.159126402403546	ENSMUSG00000001622
Ifrd1	0.150026942350245	0.356984581363985	ENSMUSG00000001627
Stk38l	1.41392655575514	5.75110840891188e-08	ENSMUSG00000001630
Brpf1	-0.118819277686803	0.26509476957792	ENSMUSG00000001632
Akr1b3	0.261464056893092	0.0419823924252349	ENSMUSG00000001642
Hoxc11	-0.069705448440515	0.901202678556321	ENSMUSG00000001656
Hoxc8	0.498359095719343	0.127916654197213	ENSMUSG00000001657
Hoxc6	0.793021214895694	0.00633110473977493	ENSMUSG00000001661
Gstt1	-0.0836245956033088	0.850282239986055	ENSMUSG00000001663
Gstt3	0.696389365055459	0.002082939567278	ENSMUSG00000001665
Ddt	0.335137263393761	0.178627844103824	ENSMUSG00000001666
Ddx18	0.221470347763528	0.148444264335792	ENSMUSG00000001674
Ubl3	0.196904290926171	0.103482512596476	ENSMUSG00000001687
Gramd3	0.784747567841082	7.86614215702564e-06	ENSMUSG00000001700
Eef1e1	0.241179484939243	0.356327454220107	ENSMUSG00000001707
Akt1	0.472703834735509	0.000501229910149985	ENSMUSG00000001729
Cldn15	-0.287758087165404	0.289113309967929	ENSMUSG00000001739
Il16	-0.306093609019266	0.00957567852715988	ENSMUSG00000001741
Tcirg1	-0.0238206337072784	0.917741737652464	ENSMUSG00000001750
Naglu	0.886716854007333	1.84743483605591e-05	ENSMUSG00000001751
Coasy	0.109761009325794	0.482196939460791	ENSMUSG00000001755
Smo	0.966673934423036	2.08466610419519e-06	ENSMUSG00000001761
Tspan33	-0.466953577844286	0.0167622508454593	ENSMUSG00000001763
Crnkl1	0.0319427498923535	0.879020349827183	ENSMUSG00000001767
Rin2	1.33131167661729	3.14929285813773e-07	ENSMUSG00000001768
Chordc1	0.0713907873614499	0.631327920769116	ENSMUSG00000001774
Rtcb	0.294596158026894	0.0377482418675566	ENSMUSG00000001783
Pwp1	-0.0657099753030694	0.666869382310907	ENSMUSG00000001785
Fbxo7	-0.431534893361754	0.0191848038674859	ENSMUSG00000001786
Capns1	0.335919058879557	0.0416353160828262	ENSMUSG00000001794
Lrp3	0.791287418934277	0.0137004415965537	ENSMUSG00000001802
Folr1	0.921040929952694	0.184370607506203	ENSMUSG00000001827
Clpb	0.0277240667451606	0.914083609349881	ENSMUSG00000001829
Septin7	0.375387696977605	0.000471920897455288	ENSMUSG00000001833
Zdhhc4	0.0954852926246557	0.634681333645385	ENSMUSG00000001844
Rac1	0.293473527063934	0.0073891552766834	ENSMUSG00000001847
Nup214	0.128466030106212	0.435330961227027	ENSMUSG00000001855
Aif1l	0.696242847533715	0.288467575374609	ENSMUSG00000001864
Cpa3	-0.132435918044621	0.673173593578579	ENSMUSG00000001865
Ltbp1	1.17971641071451	5.00549512956344e-07	ENSMUSG00000001870
Ugp2	0.0887163527567552	0.745226829048157	ENSMUSG00000001891
Kcnh6	-0.414006524065651	0.608003206488979	ENSMUSG00000001901
Trmt1	-0.23202313039268	0.109210874655136	ENSMUSG00000001909
Nacc1	-0.0689701596819292	0.662023944574233	ENSMUSG00000001910
Nfix	0.990762681178	5.54985628140111e-05	ENSMUSG00000001911
Slc1a5	-0.42052257592236	0.000593729087794506	ENSMUSG00000001918
Uba1	0.206763657340031	0.0808734042419528	ENSMUSG00000001924
Vwf	-0.21254914865212	0.182626439935965	ENSMUSG00000001930
Siae	0.48412784847999	0.00103403010533754	ENSMUSG00000001942
Vsig2	0.205156468720332	0.647495687878138	ENSMUSG00000001943
Esam	0.529933175496688	0.00331425845779948	ENSMUSG00000001946
Spa17	0.969185966504035	0.0479550276911672	ENSMUSG00000001948
Fam50a	0.224541275481433	0.129176356951153	ENSMUSG00000001962
Emd	0.144086906113448	0.377751710295568	ENSMUSG00000001964
Taco1	-0.129207455390826	0.602944247675711	ENSMUSG00000001983
Grik3	-0.450531970168666	0.322215638121517	ENSMUSG00000001985
Gria3	-0.0566751168458186	0.74118323838905	ENSMUSG00000001986
Npas1	0.261881692746851	0.624303881761864	ENSMUSG00000001988
Sipa1l2	0.131194928580082	0.497250229427862	ENSMUSG00000001995
Ap4e1	0.0642551831014675	0.668707654342245	ENSMUSG00000001998
Blvra	0.225609984780364	0.257324161788274	ENSMUSG00000001999
Pdzd4	0.844138107871292	0.000145941320562664	ENSMUSG00000002006
Srpk3	-0.173840046423114	0.710313105754558	ENSMUSG00000002007
Idh3g	-0.219881191709038	0.0992268883420503	ENSMUSG00000002010
Pnck	-0.120456487451424	0.807176783229876	ENSMUSG00000002012
Ssr4	0.466671142382515	0.00562523919653526	ENSMUSG00000002014
Bcap31	0.389768872212711	0.0108634830828833	ENSMUSG00000002015
Fam98a	0.642739665701763	0.000687811297359204	ENSMUSG00000002017
Ltbp2	1.01318784113492	0.151265303608403	ENSMUSG00000002020
Kmt2a	-0.0968199744780973	0.444713757638764	ENSMUSG00000002028
Ift46	0.535765720505708	0.00884436816272959	ENSMUSG00000002031
Tmem25	-0.0205390339454622	0.979872903326082	ENSMUSG00000002032
Cd3g	0.00908075176137318	0.987837338143438	ENSMUSG00000002033
Trappc6a	0.166647161322939	0.447853880204024	ENSMUSG00000002043
Supt6	0.252213800338783	0.0516673918273055	ENSMUSG00000002052
Spag5	-0.477067100435181	0.019285441938669	ENSMUSG00000002055
Foxn1	-2.27304141243933	0.0419874737384112	ENSMUSG00000002057
Unc119	-0.199298532770629	0.249373802221306	ENSMUSG00000002058
Rab34	1.03682232465037	0.000886476577926205	ENSMUSG00000002059
Sdf2	0.728228245893915	1.72914549574064e-05	ENSMUSG00000002064
Ccne1	-0.359294642418123	0.072756151535563	ENSMUSG00000002068
Hsf2bp	-0.387939102622564	0.805136408952977	ENSMUSG00000002076
Bbc3	0.380404853274964	0.239602837158953	ENSMUSG00000002083
Mybpc3	-0.476062124849183	0.394193635644285	ENSMUSG00000002100
Psmc3	0.47850123262935	9.06496342455219e-05	ENSMUSG00000002102
Acp2	0.437862682855649	0.0138608714929135	ENSMUSG00000002103
Rapsn	0.0620317118854075	0.878900270623276	ENSMUSG00000002104
Slc39a13	1.24237035105471	9.90258271880153e-06	ENSMUSG00000002105
Celf2	-0.3014936148329	0.00962828247100163	ENSMUSG00000002107
Nr1h3	-0.322575424871189	0.189825205224066	ENSMUSG00000002108
Ddb2	-0.0971515145372681	0.733471137086499	ENSMUSG00000002109
Spi1	-0.340743357774731	0.0233423776796007	ENSMUSG00000002111
Sf3a1	0.00147887846935113	0.992992866950881	ENSMUSG00000002129
Stat6	0.166017282734969	0.125258224253942	ENSMUSG00000002147
Clgn	0.163516529461442	0.720925239714343	ENSMUSG00000002190
Napsa	-0.474590844952778	0.0108586145618878	ENSMUSG00000002204
Vrk3	-0.0592225481052004	0.722686313225855	ENSMUSG00000002205
Smg9	-0.3389175892747	0.0262330324209461	ENSMUSG00000002210
Paxip1	-0.236137598372952	0.118318384946023	ENSMUSG00000002221
Rmnd5a	-0.00810131634106259	0.963194215845376	ENSMUSG00000002222
Mov10	-0.213486977427425	0.474270395003924	ENSMUSG00000002227
Ppm1j	0.115488479238994	0.827081404574072	ENSMUSG00000002228
Rhoc	1.43157184760828	6.29808910530767e-07	ENSMUSG00000002233
Tead3	1.1454876538778	7.15292115611515e-05	ENSMUSG00000002249
Ppard	0.271029855804927	0.0759899379904764	ENSMUSG00000002250
Def6	-0.0787111818309256	0.66016180537175	ENSMUSG00000002257
Peg3	2.1177010865118	9.4901032857785e-09	ENSMUSG00000002265
Zim1	2.73653431370614	2.33689866883072e-09	ENSMUSG00000002266
Metrn	-0.0301865227733713	0.911755098714095	ENSMUSG00000002274
Lmf1	0.496612445128914	0.0217033341524218	ENSMUSG00000002279
Ciao3	-0.0201445213811793	0.920323688025325	ENSMUSG00000002280
Angptl4	1.36912478485788	0.0426156533903591	ENSMUSG00000002289
Dbf4	-0.282476232959506	0.036145651844905	ENSMUSG00000002297
Daxx	0.0798571401571175	0.827719290328337	ENSMUSG00000002307
Cd320	0.408343621000675	0.24140576880664	ENSMUSG00000002308
Ipo4	0.781589859382808	0.00319243146725412	ENSMUSG00000002319
Tm9sf1	0.777998910727365	0.000756364738902939	ENSMUSG00000002320
Rec8	-0.317503604721011	0.439213038322057	ENSMUSG00000002324
Irf9	-0.0872073714301571	0.872717964291763	ENSMUSG00000002325
Gmpr2	0.470586654695289	0.0698791488202938	ENSMUSG00000002326
Mdp1	0.117058398834604	0.539417166355928	ENSMUSG00000002329
Dhrs1	0.170635490215084	0.232158595187924	ENSMUSG00000002332
Ncan	-0.789191386557812	0.307842949640579	ENSMUSG00000002341
Tmem161a	0.108222967874454	0.569203233682696	ENSMUSG00000002342
Armc6	0.340562326082078	0.182958264260198	ENSMUSG00000002343
Borcs8	0.106576468591677	0.537606381774719	ENSMUSG00000002345
Slc25a42	-0.439141136369827	0.0250109202913567	ENSMUSG00000002346
Snx9	0.826880259951138	3.82358568300905e-06	ENSMUSG00000002365
Ranbp3	0.109397443685229	0.40715440970964	ENSMUSG00000002372
Ndufa11	0.190991749743545	0.288774493170497	ENSMUSG00000002379
Bmp8b	0.0825894185038517	0.920085158592192	ENSMUSG00000002384
Nr2f6	0.559834633860954	0.0217092011970902	ENSMUSG00000002393
Use1	0.223946792223561	0.106552867331704	ENSMUSG00000002395
Ocel1	-0.524271130303047	0.0144195255525281	ENSMUSG00000002396
Dyrk1b	-0.131851204884669	0.602242943975434	ENSMUSG00000002409
Braf	0.0299370544589292	0.83222567871557	ENSMUSG00000002413
Ndufb2	-0.101870503749378	0.58101646763982	ENSMUSG00000002416
Hltf	0.259202882717188	0.0361553506581978	ENSMUSG00000002428
Prpf6	0.0847318271845827	0.601381279334188	ENSMUSG00000002455
Rgs19	-0.218133868651305	0.266378949220395	ENSMUSG00000002458
